air_var,scope,N_voice,N_silent,mean_silent,mean_voice,mean_diff_voice_minus_silent,welch_p_two_sided,welch_p_one_sided_gt,hac_coef_voice,hac_p_two_sided,hac_p_one_sided_gt
CO2,ALL,109,1257,1536.9296420047733,1593.1938532110091,56.264211206235814,0.2729415271719592,0.1364707635859796,56.26421120623609,0.501505236938256,0.250752618469128
CO2,VENT_OFF,96,955,1503.942062827225,1606.9976041666669,103.05554133944179,0.07153648018116965,0.035768240090584824,103.05554133944332,0.2667863914012262,0.1333931957006131
PM1,ALL,63,757,6.653025099075298,7.446666666666666,0.7936415675913686,0.7365159022119603,0.36825795110598014,0.7936415675913683,0.7702086272087294,0.3851043136043647
PM1,VENT_OFF,53,574,6.647003484320558,4.528490566037736,-2.1185129182828213,0.04571908635457248,0.9771404568227138,-2.118512918282824,0.07834379525483885,0.9608281023725805
PM25,ALL,63,757,10.868850726552179,12.623650793650791,1.7548000670986124,0.6912681773347955,0.34563408866739775,1.7548000670986121,0.7290320933499219,0.36451604667496096
PM25,VENT_OFF,53,574,10.906463414634148,7.069056603773586,-3.8374068108605623,0.04415770579157451,0.9779211471042127,-3.8374068108605637,0.08026624180486187,0.9598668790975691
PM10,ALL,63,757,11.855970937912815,13.922698412698415,2.0667274747855995,0.6852790404854173,0.34263952024270866,2.0667274747855964,0.722980929720097,0.3614904648600485
PM10,VENT_OFF,53,574,11.906341463414638,7.433396226415095,-4.472945236999543,0.03557918084476345,0.9822104095776183,-4.472945236999538,0.07379523563749447,0.9631023821812528
HUM,ALL,110,1280,66.8867143073471,67.58237697732037,0.6956626699732595,0.05015263039990358,0.02507631519995179,0.6956626699732967,0.20175437757823134,0.10087718878911567
HUM,VENT_OFF,97,970,66.70121808415195,67.75589919816724,1.0546811140152954,0.008219360370770265,0.004109680185385133,1.0546811140152799,0.07844168204533382,0.03922084102266691
TEMP,ALL,110,1280,25.47718516013642,25.046297682709444,-0.43088747742697464,0.0009838305719063222,0.9995080847140468,-0.43088747742695543,0.02345416798105863,0.9882729160094706
TEMP,VENT_OFF,97,970,25.288938579104155,24.912100262785525,-0.3768383163186293,0.0056219020742067265,0.9971890489628966,-0.3768383163186365,0.05405919767441846,0.9729704011627908
dCO2,ALL,108,1234,-0.5034846029173417,1.9166666666666572,2.420151269583999,0.12887024305731773,0.06443512152865886,2.420151269584008,0.19098238943224632,0.09549119471612316
dCO2,VENT_OFF,95,932,3.1184227467811128,5.904315789473681,2.785893042692568,0.00014853737143923944,7.426868571961972e-05,2.785893042692563,0.0022798971433205394,0.0011399485716602697
