kit_code,start_local,end_local,duration_min
NOISE102,2025-08-12T10:19:00+02:00,2025-08-12T10:21:00+02:00,2
NOISE102,2025-08-12T14:26:00+02:00,2025-08-12T14:39:00+02:00,13
NOISE102,2025-08-12T15:38:00+02:00,2025-08-12T15:47:00+02:00,9
NOISE102,2025-08-12T17:28:00+02:00,2025-08-12T17:32:00+02:00,4
NOISE102,2025-08-12T17:35:00+02:00,2025-08-12T17:43:00+02:00,8
NOISE102,2025-08-12T17:44:00+02:00,2025-08-12T17:51:00+02:00,7
NOISE102,2025-08-12T17:53:00+02:00,2025-08-12T18:03:00+02:00,10
NOISE102,2025-08-13T10:08:00+02:00,2025-08-13T10:15:00+02:00,7
NOISE102,2025-08-13T10:23:00+02:00,2025-08-13T10:31:00+02:00,8
NOISE102,2025-08-13T14:58:00+02:00,2025-08-13T15:03:00+02:00,5
NOISE102,2025-08-14T09:52:00+02:00,2025-08-14T09:56:00+02:00,4
NOISE102,2025-08-14T10:42:00+02:00,2025-08-14T10:46:00+02:00,4
NOISE102,2025-08-14T15:31:00+02:00,2025-08-14T15:42:00+02:00,11
NOISE102,2025-08-14T15:43:00+02:00,2025-08-14T15:51:00+02:00,8
NOISE102,2025-08-14T17:42:00+02:00,2025-08-14T17:47:00+02:00,5
